Country Code ISO3,Country,IndexScore,IndexRank,SpilloverScore,Regions used for the SDR,id,image
AFG,Afghanistan,49.649155966526976,153,94.51158731639808,E. Europe & C. Asia,4,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FC8604C48B0>
AGO,Angola,51.32035798527132,149,98.59815945061138,Africa,24,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FC8604C4940>
ALB,Albania,70.2726472281819,60,89.68429938372053,E. Europe & C. Asia,8,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x36 at 0x7FC8604C50C0>
AND,Andorra,,0,,E. Europe & C. Asia,20,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x35 at 0x7FC8604C49A0>
ARE,United Arab Emirates,69.7089190637932,65,47.42736706313431,MENA,784,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FC863ED35E0>
ARG,Argentina,72.35040744534194,45,97.0156223367652,LAC,32,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FC8604701C0>
ARM,Armenia,68.7731836870074,75,93.0972969506126,E. Europe & C. Asia,51,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FC860470E20>
ATG,Antigua and Barbuda,,0,,LAC,28,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FC860470310>
AUS,Australia,73.88662918142523,38,61.19290691269566,OECD,36,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FC860470970>
AUT,Austria,81.07370340756927,5,63.22667825056149,OECD,40,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FC8604724A0>
AZE,Azerbaijan,70.4589040399551,59,97.46343844446228,E. Europe & C. Asia,31,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FC8604C4550>
BDI,Burundi,51.54663075252328,145,99.34921311696463,Africa,108,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FC8604C4610>
BEL,Belgium,78.89166182153363,16,58.4873909306381,OECD,56,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x43 at 0x7FC8604C44C0>
BEN,Benin,50.85380075588766,151,96.57167217896388,Africa,204,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FC8604C4A90>
BFA,Burkina Faso,52.403842035707214,141,96.6808092058662,Africa,854,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FC8604C4760>
BGD,Bangladesh,60.87548938804758,116,98.00283666625045,East & South Asia,50,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x30 at 0x7FC8604C4880>
BGR,Bulgaria,74.51905253135921,36,90.1475488461348,E. Europe & C. Asia,100,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FC8604C5210>
BHR,Bahrain,68.71941398293256,76,78.01397535328668,MENA,48,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x30 at 0x7FC8604C59C0>
BHS,"Bahamas, The",,0,,LAC,44,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FC8604C5420>
BIH,Bosnia and Herzegovina,69.3887343215239,69,96.36619406921209,E. Europe & C. Asia,70,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FC8604C4E80>
BLR,Belarus,77.44476174024102,23,91.91318279028336,E. Europe & C. Asia,112,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FC8604C4820>
