Country Code ISO3,UNCode,Country,IndexRank,IndexScore,GeometricRank,GeometricScore,UNReg,UnRegSub,Regions used for the SDR,SDG1_190DAY_im,SDG1_OECDPOV,SDG2_CRLYLD,SDG2_NUE,SDG2_OBESITY,SDG2_STUNTING,SDG2_UNDERNSH_im,SDG2_WASTING,SDG3_FERTILITY,SDG3_HALE,SDG3_MATMORT,SDG3_NEONAT,SDG3_PHYS,SDG3_SMOKE,SDG3_SWB,SDG3_TB,SDG3_TRAFFIC,SDG3_U5MORT,SDG3_VAC,SDG4_LITERACY,SDG4_PISA,SDG4_PRIMARY,SDG4_SCHLYRS,SDG4_TERTIARY,SDG4_UPSEC,SDG5_CONTRA,SDG5_EDAT,SDG5_LFPR,SDG5_PARL,SDG5_PAYGAP,SDG6_FRESHWAT,SDG6_IMPSAN,SDG6_IMPWAT,SDG7_CO2TWH,SDG7_ELECAC,SDG7_NSFUELAC,SDG7_REN,SDG8_ADJGROWTH,SDG8_ATMS,SDG8_CLABOR_im,SDG8_EMPOP,SDG8_UNEMP,SDG8_YNEET,SDG9_INFRQUAL,SDG9_INTUSE,SDG9_LOGPERF,SDG9_MOBUSE,SDG9_PATENTS,SDG9_RDRES,SDG9_RD_im,SDG10_GINI,SDG10_JUSTICE,SDG10_PALMA,SDG11_PIPEDWAT,SDG11_PM25,SDG11_ROOMS,SDG12_MSW,SDG12_MSWRECYCL,SDG12_WASTEWAT,SDG13_CCVM,SDG13_CO2pCAP,SDG14_BIODIV,SDG14_CLEANWAT,SDG14_CPMA,SDG14_FISH,SDG14_FISHSTOCKS,SDG15_CPTA,SDG15_FORCHG,SDG15_REDLIST,SDG16_CPI,SDG16_GOVEFF,SDG16_HOMICIDE,SDG16_PRISON,SDG16_PRS,SDG16_SAFE,SDG16_U5REG,SDG17_GOVREV,SDG17_GOVSPD,SDG17_ODA,IncomeGroup
BEN,204,Benin,130,39.98392105102539,122,34.79133224487305,Africa,Western Africa,Africa,53.11000061035156,,1.460300087928772,0.7992794394229118,9.3,34.0,7.5,4.5,94.0,50,405,31.8,0.059,,3.3399999141693115,61.0,27.7,99.5,63,42.3627038828468,,94.86314,11.06991,,,78.1637717121588,45.27472527472528,98.02890929030688,7.199999809265137,,0.4926,19.700000762939453,77.9000015258789,,38.400001525878906,8.93542000000001,,-3.789332993228861,4.32971856501318,15.300000190734863,,1.0758029222488403,,2.460317373275757,5.3,2.351515,,,,0.0,38.619998931884766,,,34.2356154,26.710803985595703,,0.54,,0.0084,0.2,0.5099622011184692,89.74,50.36,0.0,59.0,,66.6666666666667,18.6169024081178,0.909538289000349,37.0,3.328764165266682,8.4,75,3.8615384101867676,45.31337363206094,80.2,20.38,9.904857635498047,,LIC
MWI,454,Malawi,131,39.77312469482422,144,19.605632781982422,Africa,Eastern Africa,Africa,70.91000366210938,,2.1877999305725098,0.762667305870453,5.3,42.4,20.700000762939453,3.8,143.0,51,634,21.8,0.019,,4.291999816894531,227.0,35.0,64.0,85,72.1395643813808,,96.90134,10.75378,,,27.536231884057973,65.7088122605364,98.93475973552923,16.700000762939453,,7.853,41.0,90.19999694824219,,9.800000190734863,5.0,,-5.928134038660455,4.85266435590499,39.29999923706055,,6.742635250091553,,2.7533868421207774,5.83,3.042141,3.9,,,0.0,43.90999984741211,,,33.2039737,9.134368896484375,,0.5,,0.0,0.42,0.07923148572444916,,,,,,60.0,7.004695929971,0.805210619903575,31.0,3.2450545442804204,1.8,76,4.156118965148925,39.483721717089765,2.3,40.181,13.688395500183105,,LIC
MRT,478,Mauritania,132,39.5961799621582,126,34.41835021972656,Africa,Western Africa,Africa,10.90999984741211,,1.2059000730514526,,9.7,22.0,5.599999904632568,11.6,71.0,54,602,35.7,0.13,,4.435999870300293,111.0,24.5,84.69999694824219,84,56.122434719092,,73.07767,8.50027,,,72.35041063746579,56.54885654885655,45.07042026500863,25.200000762939453,,11.82,40.0,57.900001525878906,,21.76255989074707,42.02726,,-2.6141891641465618,7.72547422927955,14.600000381469727,,31.086397171020508,,2.402306105639483,10.7,2.4,5.4,,,,40.459999084472656,,,40.3669041,70.13337707519531,,0.5,,0.0,0.25,0.6272254586219788,89.81,75.39,33.3333333333333,64.0,9.61,10.0,100.73433763030299,0.976923560363419,31.0,2.653240591909131,5.0,45,2.479041751655372,44.928842139009404,58.8,27.792,,,LMIC
MOZ,508,Mozambique,133,39.47780990600586,136,26.43914031982422,Africa,Eastern Africa,Africa,68.73999786376953,,0.7026000022888184,0.8902516162633441,5.3,43.1,25.299999237060547,6.1,167.0,46,489,27.1,0.04,,4.9710001945495605,551.0,31.6,78.5,78,67.149637302153,,87.37313,9.28123,,,64.55083378160302,54.453507099901,109.76252453635327,39.599998474121094,,0.4073,20.5,51.099998474121094,0.20134228187919462,20.200000762939453,5.00216,,-3.1710186012166517,9.1066821229409,22.200000762939453,,22.271421432495117,,2.6670295574943426,5.94,2.153846,1.8,,,0.4625999927520752,45.65999984741211,,,25.2315866,7.330942153930664,,0.14,,2.5,0.23,0.13118980824947357,86.86,68.11,100.0,76.0,12.57,27.7777777777778,7.087027551074559,0.83181692724458,31.0,3.1481535390427764,12.4,65,3.5194415122724427,41.9202326466077,47.9,32.209,12.259010314941406,,LIC
ZMB,894,Zambia,134,38.40150451660156,130,31.487415313720703,Africa,Eastern Africa,Africa,64.43000030517578,,2.7553999423980713,0.8330525696791498,8.9,40.0,47.79999923706055,6.3,145.0,50,224,21.4,0.173,,5.129000186920166,406.0,24.7,64.0,85,64.0496372275951,,91.39559,13.5,,,36.32107023411372,80.21978021978022,86.95107365783437,12.699999809265137,,1.5,43.900001525878906,65.4000015258789,0.2556390977443609,22.062559127807617,17.16012,,-3.1238453553590686,9.58545608025192,40.599998474121094,,10.65829086303711,,3.581099390334823,17.34,2.310606,0.7,,,0.34033000469207764,57.4900016784668,,,36.1664291,11.778255462646484,,0.55,,4.2,0.2,0.21244964003562927,,,,,,23.2558139534884,4.25658057516118,0.879240491383354,38.0,3.9864080848413805,10.7,119,4.549865483588913,36.41980765143713,14.0,18.397,6.716629981994629,,LMIC
MLI,466,Mali,135,38.21587371826172,131,30.94914436340332,Africa,Western Africa,Africa,49.25,,1.5506999492645264,0.7965803885703833,6.8,38.5,5.0,15.3,172.0,49,587,37.8,0.083,,3.994999885559082,58.0,25.6,114.69999694824219,77,47.1369799915241,,64.40381,8.42596,,,70.89618456078084,54.901939344901606,61.916462630354616,8.800000190734863,,4.322,24.700000762939453,77.0,,25.600000381469727,5.0,,-5.55637363140034,4.26123851965816,21.399999618530273,,8.487168312072754,,3.2097473258195923,7.0,2.202778,1.8,,,0.6614199876785278,33.02000045776367,,,36.6767722,35.932090759277344,,0.65,,0.0,0.16,0.07995637506246567,,,,,,29.4117647058824,8.802672918901902,0.98052179259006,35.0,3.561621289845777,7.5,36,3.7485497634078184,71.3058436802458,80.8,21.054,12.610282897949219,,LIC
GMB,270,"Gambia, The",136,37.76626968383789,128,33.37971115112305,Africa,Western Africa,Africa,45.290000915527344,,0.744700014591217,0.8583440035195533,10.9,24.5,5.300000190734863,11.5,88.0,53,706,29.9,0.107,,,174.0,29.4,68.9000015258789,96,69.43474,,68.68975,8.76932,,,75.02356267672008,54.76839237057221,91.09947262310662,9.399999618530273,,1.131,58.900001525878906,90.19999694824219,,34.526798248291016,9.01643,,-7.163097036239627,,19.200000762939453,,30.13380241394043,,3.8934409802610226,15.56,2.0,1.2,,,0.13309000432491302,47.279998779296875,,,52.351391,34.79641342163086,,0.53,,0.4,0.21,0.24109841883182526,77.07,62.42,0.0,66.0,,0.0,13.49823416443,0.981497614352757,28.0,4.140733150314386,10.2,56,4.146763754432852,,52.5,18.54,10.167688369750977,,LIC
YEM,887,"Yemen, Rep.",137,37.30663299560547,138,24.61444854736328,Asia,Western Asia,MENA,,,0.9627000093460083,0.7814333601136403,17.2,46.5,26.100000381469727,16.3,67.0,55,385,22.1,0.197,,4.077000141143799,48.0,21.5,41.900001525878906,75,87.41462,,,9.15499,,,57.32217573221757,34.38320209973754,14.903129996130726,0.0,,168.6,53.29999923706055,54.900001525878906,2.8117647058823527,48.40671157836914,66.76764,,-15.24029174967842,4.89686248774586,22.700000762939453,,15.942108154296875,,,22.55,1.87407,0.2,,,,37.689998626708984,,,,36.1923713684082,,,,0.48795,0.04,0.9199675917625427,83.5,57.87,27.2727272727273,69.0,11.19,28.5714285714286,0.0,0.882363313845983,18.0,,4.8,55,,58.443889629286275,17.1,23.9,,,LMIC
SLE,694,Sierra Leone,138,36.91848373413086,133,28.40264129638672,Africa,Western Africa,Africa,52.33000183105469,,1.7208000421524048,,7.6,37.9,22.299999237060547,9.4,125.0,39,1360,34.9,0.022,,4.506999969482422,310.0,27.3,120.4000015258789,78,62.71661,,,8.5733775,,,65.67505720823799,54.13533834586466,,12.399999618530273,,0.1326,13.300000190734863,62.599998474121094,,14.199999809265137,5.0,,-4.711665147316876,0.401917039021453,37.400001525878906,,3.4268553256988525,,2.3769319810365377,2.1,2.5,,,,0.0,35.349998474121094,,,11.4889388,23.917280197143555,,0.45,,0.0,0.19,0.1520441621541977,64.67,62.23,50.0,76.0,3.19,70.0,8.872068457548469,0.914771172438594,29.0,3.1767204586679085,1.9,52,3.3146536551023784,55.40254828355262,78.0,13.283,14.727119445800781,,LIC
AFG,4,Afghanistan,139,36.504844665527344,142,20.188796997070312,Asia,Southern Asia,Europe & C. Asia,,,2.0206000804901123,,2.9,40.9,26.799999237060547,9.5,51.9,50,396,35.5,0.266,,3.575000047683716,189.0,15.5,91.0999984741211,66,46.9900508166446,,,9.27439,,,57.509157509157504,22.612085769980506,,27.700000762939453,,31.04,31.899999618530273,55.29999923706055,,43.0,14.86678,,-3.583961062540396,0.802081543148272,10.300000190734863,,9.58131217956543,,,6.39,1.818951,,,,0.0,27.81999969482422,,,31.2483802,21.6984920501709,,,,0.0,0.12,0.42526209354400635,,,,,,6.25,0.862703095613046,0.835789312872773,11.0,,6.5,76,,33.71611619390713,37.4,24.394,,,LIC
