Country Code ISO3,Country,IndexScore,IndexRank,SpilloverScore,Regions used for the SDR,id,image
SVK,Slovak Republic,79.57163239551403,19,75.04118181818181,OECD,703,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1341E3EB0>
SVN,Slovenia,81.60096700603319,9,60.762363636363645,OECD,705,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1341E3FD0>
SWE,Sweden,85.6136024509804,2,67.09363636363638,OECD,752,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x32 at 0x7FF1340E0130>
SWZ,Eswatini,53.32832376283847,142,84.81089999999999,Africa,748,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E0250>
SYC,Seychelles,,0,,Africa,690,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1340E0370>
SYR,Syrian Arab Republic,58.00939817927171,127,98.32944444444443,MENA,760,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x32 at 0x7FF1340E0490>
TCD,Chad,40.90431729691878,163,99.8198888888889,Africa,148,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E05B0>
TGO,Togo,53.22793181605976,143,99.1352,Africa,768,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E06D0>
THA,Thailand,74.18917941176473,43,88.67580000000001,East & South Asia,764,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E07F0>
TJK,Tajikistan,69.75669557550293,78,97.5017777777778,E. Europe & C. Asia,762,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1340E0910>
TKM,Turkmenistan,61.1382703654189,117,90.46833333333332,E. Europe & C. Asia,795,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E0A30>
TLS,Timor-Leste,,0,,East & South Asia,626,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1340E0B50>
TON,Tonga,,0,,Oceania,776,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1340E0C70>
TTO,Trinidad and Tobago,63.4971458147965,108,88.11859999999999,LAC,780,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x30 at 0x7FF1340E0D00>
TUN,Tunisia,71.44352647058822,60,94.23966666666668,MENA,788,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E0EB0>
TUR,Turkey,70.38015163398693,70,93.6992,OECD,792,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E0FD0>
TUV,Tuvalu,,0,,Oceania,798,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1340E10F0>
TZA,Tanzania,56.43216239495797,132,98.5047,Africa,834,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E1210>
UGA,Uganda,53.457846568627446,140,99.2128,Africa,800,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x30 at 0x7FF1340E1330>
UKR,Ukraine,75.51048732492997,36,93.9779,E. Europe & C. Asia,804,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E13C0>
URY,Uruguay,74.54638352187028,41,90.9534,LAC,858,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x34 at 0x7FF1340E1570>
USA,United States,76.00966232492998,32,62.144545454545465,OECD,840,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x26 at 0x7FF1340E1690>
UZB,Uzbekistan,69.83578983320601,77,98.0868888888889,E. Europe & C. Asia,860,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1340E17B0>
VCT,St. Vincent and the Grenadines,,0,,LAC,670,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E18D0>
VEN,"Venezuela, RB",59.32428552754436,122,96.44944444444444,LAC,862,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x34 at 0x7FF1340E19F0>
VNM,Vietnam,72.84849824929974,51,96.3707,East & South Asia,704,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E1B10>
VUT,Vanuatu,60.5235581232493,119,94.49066666666668,Oceania,548,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x27 at 0x7FF1340E1C30>
WSM,Samoa,,0,,Oceania,882,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1340E1D50>
YEM,"Yemen, Rep.",52.863290756302526,145,99.0232,MENA,887,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E1E70>
ZAF,South Africa,63.74167619047619,107,88.56030000000001,Africa,710,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x30 at 0x7FF1340E1F90>
ZMB,Zambia,53.391375,141,98.332,Africa,894,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1340E20B0>
ZWE,Zimbabwe,58.6636020829262,125,98.08333333333331,Africa,716,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1340E21D0>
